"id","dam","sire"
"KJ73141",NA,NA
"KR81481",NA,NA
"19791C62_DAM",NA,NA
"KR81348",NA,NA
"BS44225",NA,NA
"BP11039",NA,NA
"KR81475",NA,NA
"NA21516",NA,NA
"19791B225_DAM",NA,NA
"KJ73118",NA,NA
"BP11152",NA,NA
"KC96234",NA,NA
"BS08190",NA,NA
"NC09496",NA,NA
"NA21293",NA,NA
"19791EX17_DAM",NA,NA
"NA22224",NA,NA
"KC96230",NA,NA
"NA22191",NA,NA
"KC96203",NA,NA
"KC96249",NA,NA
"KC96245",NA,NA
"NC09008",NA,NA
"KJ73123",NA,NA
"NA21533",NA,NA
"BS44400",NA,NA
"KJ71697",NA,NA
"BS44467",NA,NA
"BS44541",NA,NA
"BS79317",NA,NA
"BS08441",NA,NA
"BN34328",NA,NA
"BS08560",NA,NA
"NA21507",NA,NA
"BR62130",NA,NA
"19771CP2_DAM",NA,NA
"KC97000",NA,NA
"NA21549",NA,NA
"KC96217",NA,NA
"BS44374",NA,NA
"BR62040",NA,NA
"NA22050",NA,NA
"KC96207",NA,NA
"NA22049",NA,NA
"KJ71689",NA,NA
"BS44477",NA,NA
"BS44660",NA,NA
"KC96210",NA,NA
"BS44371",NA,NA
"BS08475",NA,NA
"KC96554",NA,NA
"BP52489",NA,NA
"19771EX68_DAM",NA,NA
"KC96752",NA,NA
"BS44498",NA,NA
"BH62522",NA,NA
"BS44548",NA,NA
"NA21246",NA,NA
"BP11166",NA,NA
"BS44531",NA,NA
"BR62750",NA,NA
"BS44545",NA,NA
"BR62168",NA,NA
"BS44318",NA,NA
"BS44379",NA,NA
"BP11276",NA,NA
"19761O11_DAM",NA,NA
"BR62222",NA,NA
"19761EX3_DAM",NA,NA
"BS08491",NA,NA
"19761CP35_DAM",NA,NA
"19761EX34_DAM",NA,NA
"BS44540",NA,NA
"BS44140",NA,NA
"19751W100_DAM",NA,NA
"19751O38A_DAM",NA,NA
"BP11175",NA,NA
"BJ14462",NA,NA
"BN34731",NA,NA
"BR62127",NA,NA
"BN34329",NA,NA
"BS08515",NA,NA
"BR62379",NA,NA
"BS08286",NA,NA
"BS08010",NA,NA
"BH62518",NA,NA
"BJ05730",NA,NA
"BJ05648",NA,NA
"BN34051",NA,NA
"BP11013",NA,NA
"BJ54869",NA,NA
"BA44515",NA,NA
"BH62524",NA,NA
"19711W9_DAM",NA,NA
"BJ54789",NA,NA
"BH62954",NA,NA
"BC85925",NA,NA
"BH18301",NA,NA
